,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year
289,16,2004-07-21,15.5,Le Bourg-d'Oisans,Alpe d'Huez,Individual Time Trial,Lance Armstrong[n 1],USA,2004
290,17,2004-07-22,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,Mountain Stage,Lance Armstrong[n 1],USA,2004
291,18,2004-07-23,166.5,Annemasse,Lons-le-Saunier,Hilly Stage,Juan Miguel Mercado,ESP,2004
292,19,2004-07-24,55.0,Besançon,Besançon,Individual Time Trial,Lance Armstrong[n 1],USA,2004
293,20,2004-07-25,163.0,Montereau-Fault-Yonne,Paris,Flat Stage,Tom Boonen,BEL,2004
294,P,2003-07-05,6.5,Paris,Paris,Individual Time Trial,Bradley McGee,AUS,2003
295,1,2003-07-06,168.0,Saint-Denis,Meaux,Flat Stage,Alessandro Petacchi,ITA,2003
296,2,2003-07-07,204.5,La Ferté-sous-Jouarre,Sedan,Flat Stage,Baden Cooke,AUS,2003
297,3,2003-07-08,167.5,Charleville-Mézières,Saint-Dizier,Flat Stage,Alessandro Petacchi,ITA,2003
298,4,2003-07-09,69.0,Joinville,Saint-Dizier,Team Time Trial,U.S. Postal Service,USA,2003
299,5,2003-07-10,196.5,Troyes,Nevers,Flat Stage,Alessandro Petacchi,ITA,2003
300,6,2003-07-11,230.0,Nevers,Lyon,Flat Stage,Alessandro Petacchi,ITA,2003
301,7,2003-07-12,230.5,Lyon,Morzine,Mountain Stage,Richard Virenque,FRA,2003
302,8,2003-07-13,219.0,Sallanches,Alpe d'Huez,Mountain Stage,Iban Mayo,ESP,2003
303,9,2003-07-14,184.5,Le Bourg-d'Oisans,Gap,Mountain Stage,Alexander Vinokourov,KAZ,2003
304,10,2003-07-15,219.5,Gap,Marseille,Flat Stage,Jakob Piil,DEN,2003
305,11,2003-07-17,153.5,Narbonne,Toulouse,Flat Stage,Juan Antonio Flecha,ESP,2003
306,12,2003-07-18,47.0,Gaillac,Cap Découverte,Individual Time Trial,Jan Ullrich,GER,2003
307,13,2003-07-19,197.5,Toulouse,Ax 3 Domaines,Mountain Stage,Carlos Sastre,ESP,2003
308,14,2003-07-20,191.5,Saint-Girons,Loudenvielle,Mountain Stage,Gilberto Simoni,ITA,2003
309,15,2003-07-21,159.5,Bagnères-de-Bigorre,Luz Ardiden,Mountain Stage,Lance Armstrong[n 1],USA,2003
310,16,2003-07-23,197.5,Pau,Bayonne,Mountain Stage,Tyler Hamilton,USA,2003
311,17,2003-07-24,181.0,Dax,Bordeaux,Flat Stage,Servais Knaven,NED,2003
312,18,2003-07-25,203.5,Bordeaux,Saint-Maixent-l'École,Flat Stage,Pablo Lastras,ESP,2003
313,19,2003-07-26,49.0,Pornic,Nantes,Individual Time Trial,David Millar,GBR,2003
314,20,2003-07-27,152.0,Ville-d'Avray,Paris,Flat Stage,Jean-Patrick Nazon,FRA,2003
315,P,2002-07-06,7.0,Luxembourg City,Luxembourg City,Individual Time Trial,Lance Armstrong[n 1],USA,2002
316,1,2002-07-07,192.5,Luxembourg City,Luxembourg City,Flat Stage,Rubens Bertogliati,SUI,2002
317,2,2002-07-08,181.0,Luxembourg City,Saarbrücken,Flat Stage,Óscar Freire,ESP,2002
318,3,2002-07-09,174.5,Metz,Reims,Flat Stage,Robbie McEwen,AUS,2002
319,4,2002-07-10,67.5,Épernay,Château-Thierry,Team Time Trial,ONCE–Eroski,,2002
320,5,2002-07-11,195.0,Soissons,Rouen,Flat Stage,Jaan Kirsipuu,EST,2002
321,6,2002-07-12,199.5,Forges-les-Eaux,Alençon,Flat Stage,Erik Zabel,GER,2002
322,7,2002-07-13,176.0,Bagnoles-de-l'Orne,Avranches,Flat Stage,Bradley McGee,AUS,2002
323,8,2002-07-14,217.5,Saint-Martin-de-Landelles,Plouay,Flat Stage,Karsten Kroon,NED,2002
324,9,2002-07-15,52.0,Lanester,Lorient,Individual Time Trial,Santiago Botero,COL,2002
325,10,2002-07-17,147.0,Bazas,Pau,Flat Stage,Patrice Halgand,FRA,2002
