,Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year
1093,20a,1970-07-16,223.5,Mourenx,Bordeaux,Flat Stage,Rolf Wolfshohl,FRG,1970
1094,20b,1970-07-16,8.2,Bordeaux,Bordeaux,Individual Time Trial,Eddy Merckx,BEL,1970
1095,21,1970-07-17,191.5,Ruffec,Tours,Flat Stage,Marino Basso,ITA,1970
1096,22,1970-07-18,238.5,Tours,Versailles,Flat Stage,Jean-Pierre Danguillaume,FRA,1970
1097,23,1970-07-19,54.0,Versailles,Paris,Individual Time Trial,Eddy Merckx,BEL,1970
1098,P,1969-06-28,10.0,Roubaix,Roubaix,Individual Time Trial,Rudi Altig,GER,1969
1099,1a,1969-06-29,147.0,Roubaix,Sint-Pieters-Woluwe,Flat Stage,Marino Basso,ITA,1969
1100,1b,1969-06-29,16.0,Sint-Pieters-Woluwe,Sint-Pieters-Woluwe,Team Time Trial,Faema,,1969
1101,2,1969-06-30,182.0,Sint-Pieters-Woluwe,Maastricht,Flat Stage,Julien Stevens,BEL,1969
1102,3,1969-07-01,213.0,Maastricht,Charleville-Mézières,Flat Stage,Eric Leman,BEL,1969
1103,4,1969-07-02,214.0,Charleville-Mézières,Nancy,Flat Stage,Rik Van Looy,BEL,1969
1104,5,1969-07-03,194.0,Nancy,Mulhouse,Mountain Stage,Joaquim Agostinho,POR,1969
1105,6,1969-07-04,133.0,Mulhouse,Ballon d’Alsace,Mountain Stage,Eddy Merckx,BEL,1969
1106,7,1969-07-05,241.0,Belfort,Divonne-les-Bains,Mountain Stage,Mariano Diaz,ESP,1969
1107,8a,1969-07-06,9.0,Divonne-les-Bains,Divonne-les-Bains,Individual Time Trial,Eddy Merckx,BEL,1969
1108,8b,1969-07-06,137.0,Divonne-les-Bains,Thonon-les-Bains,Mountain Stage,Michele Dancelli,ITA,1969
1109,9,1969-07-07,111.0,Thonon-les-Bains,Chamonix,Mountain Stage,Roger Pingeon,FRA,1969
1110,10,1969-07-08,221.0,Chamonix,Briançon,Mountain Stage,Herman Van Springel,BEL,1969
1111,11,1969-07-09,198.0,Briançon,Digne,Mountain Stage,Eddy Merckx,BEL,1969
1112,12,1969-07-10,161.0,Digne,Aubagne,Mountain Stage,Felice Gimondi,ITA,1969
1113,13,1969-07-11,196.0,Aubagne,La Grande-Motte,Flat Stage,Guido Reybrouck,BEL,1969
1114,14,1969-07-12,234.0,La Grande-Motte,Revel,Flat Stage,Joaquim Agostinho,POR,1969
1115,15,1969-07-13,19.0,Revel,Revel,Individual Time Trial,Eddy Merckx,BEL,1969
1116,16,1969-07-14,199.0,Castelnaudary,Luchon,Mountain Stage,Raymond Delisle,FRA,1969
1117,17,1969-07-15,214.0,Luchon,Mourenx,Mountain Stage,Eddy Merckx,BEL,1969
1118,18,1969-07-16,201.0,Mourenx,Bordeaux,Flat Stage,Barry Hoban,GBR,1969
1119,19,1969-07-17,193.0,Bordeaux,Brive,Flat Stage,Barry Hoban,GBR,1969
1120,20,1969-07-18,198.0,Brive,Puy de Dôme,Mountain Stage,Pierre Matignon,FRA,1969
1121,21,1969-07-19,329.0,Clermont-Ferrand,Montargis,Flat Stage,Herman Van Springel,BEL,1969
1122,22a,1969-07-20,111.0,Montargis,Créteil,Flat Stage,Jozef Spruyt,BEL,1969
1123,22b,1969-07-20,37.0,Créteil,Paris,Individual Time Trial,Eddy Merckx,BEL,1969
1124,1a,1968-06-27,6.1,Vittel,Vittel,Individual Time Trial,Charly Grosskost,FRA,1968
1125,1b,1968-06-28,189.0,Vittel,Esch-sur-Alzette,Flat Stage,Charly Grosskost,FRA,1968
1126,2,1968-06-29,210.5,Arlon,Forest,Flat Stage,Eric de Vlaeminck,BEL,1968
1127,3a,1968-06-30,22.0,Forest,Forest,Team Time Trial,Belgium A,,1968
1128,3b,1968-06-30,112.0,Forest,Roubaix,Flat Stage,Walter Godefroot,BEL,1968
1129,4,1968-07-01,238.0,Roubaix,Rouen,Flat Stage,Georges Chappe,FRA,1968
1130,5a,1968-07-02,165.0,Rouen,Bagnoles-de-l'Orne,Flat Stage,André Desvages,FRA,1968
1131,5b,1968-07-02,154.5,Bagnoles-de-l'Orne,Dinard,Flat Stage,Jean Dumont,FRA,1968
1132,6,1968-07-03,188.0,Dinard,Lorient,Flat Stage,Aurelio González Puente,ESP,1968
1133,7,1968-07-04,190.0,Lorient,Nantes,Flat Stage,Franco Bitossi,ITA,1968
1134,8,1968-07-05,223.0,Nantes,Royan,Flat Stage,Daniel van Ryckeghem,BEL,1968
1135,9,1968-07-07,137.5,Royan,Bordeaux,Flat Stage,Walter Godefroot,BEL,1968
1136,10,1968-07-08,202.5,Bordeaux,Bayonne,Flat Stage,Gilbert Bellone,FRA,1968
1137,11,1968-07-09,183.5,Bayonne,Pau,Flat Stage,Daniel van Ryckeghem,BEL,1968
1138,12,1968-07-10,226.5,Pau,Saint-Gaudens,Mountain Stage,Georges Pintens,BEL,1968
1139,13,1968-07-11,208.5,Saint-Gaudens,La Seu d'Urgell,Mountain Stage,Herman Van Springel,BEL,1968
1140,14,1968-07-12,231.5,La Seu d'Urgell,Perpignan,Mountain Stage,Jan Janssen,NED,1968
1141,15,1968-07-14,250.5,Font-Romeu-Odeillo-Via,Albi,Flat Stage,Roger Pingeon,FRA,1968
1142,16,1968-07-15,199.0,Albi,Aurillac,Flat Stage,Franco Bitossi,ITA,1968
1143,17,1968-07-16,236.5,Aurillac,Saint-Étienne,Mountain Stage,Jean-Pierre Genet,FRA,1968
1144,18,1968-07-17,235.0,Saint-Étienne,Grenoble,Mountain Stage,Roger Pingeon,FRA,1968
1145,19,1968-07-18,200.0,Grenoble,Sallanches,Mountain Stage,Barry Hoban,GBR,1968
1146,20,1968-07-19,242.5,Sallanches,Besançon,Mountain Stage,Jozef Huysmans,BEL,1968
1147,21,1968-07-20,242.0,Besançon,Auxerre,Flat Stage,Eric Leman,BEL,1968
1148,22a,1968-07-21,136.0,Auxerre,Melun,Flat Stage,Maurice Izier,FRA,1968
1149,22b,1968-07-21,55.2,Melun,Paris,Individual Time Trial,Jan Janssen,NED,1968
1150,1a,1967-06-29,5.775,Angers,Angers,Individual Time Trial,José-Maria Errandonea,ESP,1967
1151,1b,1967-06-30,185.5,Angers,Saint-Malo,Flat Stage,Walter Godefroot,BEL,1967
1152,2,1967-07-01,180.0,Saint-Malo,Caen,Flat Stage,Willy Van Neste,BEL,1967
1153,3,1967-07-02,248.0,Caen,Amiens,Flat Stage,Marino Basso,ITA,1967
1154,4,1967-07-03,191.0,Amiens,Roubaix,Flat Stage,Guido Reybrouck,BEL,1967
1155,5a,1967-07-04,172.0,Roubaix,Jambes,Flat Stage,Roger Pingeon,FRA,1967
1156,5b,1967-07-04,17.0,Jambes,Jambes,Team Time Trial,Belgium,,1967
1157,6,1967-07-05,238.0,Jambes,Metz,Flat Stage,Herman Van Springel,BEL,1967
1158,7,1967-07-06,205.5,Metz,Strasbourg,Mountain Stage,Michael Wright,GBR,1967
1159,8,1967-07-07,215.0,Strasbourg,Belfort/Ballon d’Alsace,Mountain Stage,Lucien Aimar,FRA,1967
1160,9,1967-07-09,238.5,Belfort,Divonne-les-Bains,Mountain Stage,Guido Reybrouck,BEL,1967
1161,10,1967-07-10,243.0,Divonne-les-Bains,Briançon,Mountain Stage,Felice Gimondi,ITA,1967
1162,11,1967-07-11,197.0,Briançon,Digne,Mountain Stage,José Samyn,FRA,1967
1163,12,1967-07-12,207.5,Digne,Marseille,Flat Stage,Raymond Riotte,FRA,1967
1164,13,1967-07-13,211.5,Marseille,Carpentras,Mountain Stage,Jan Janssen,NED,1967
1165,14,1967-07-14,201.5,Carpentras,Sète,Flat Stage,Barry Hoban,GBR,1967
1166,15,1967-07-16,230.5,Sète,Toulouse,Flat Stage,Rolf Wolfshohl,FRG,1967
1167,16,1967-07-17,188.0,Toulouse,Luchon,Mountain Stage,Fernando Manzaneque,ESP,1967
1168,17,1967-07-18,250.0,Luchon,Pau,Mountain Stage,Raymond Mastrotto,FRA,1967
1169,18,1967-07-19,206.5,Pau,Bordeaux,Flat Stage,Marino Basso,ITA,1967
1170,19,1967-07-20,217.0,Bordeaux,Limoges,Flat Stage,Jean Stablinski,FRA,1967
1171,20,1967-07-21,222.0,Limoges,Puy de Dôme,Mountain Stage,Felice Gimondi,ITA,1967
1172,21,1967-07-22,359.0,Clermont-Ferrand,Fontainebleau,Flat Stage,Paul Lemeteyer,FRA,1967
1173,22a,1967-07-23,104.0,Fontainebleau,Versailles,Flat Stage,René Binggeli,SUI,1967
1174,22b,1967-07-23,46.6,Versailles,Paris,Individual Time Trial,Raymond Poulidor,FRA,1967
1175,1,1966-06-21,209.0,Nancy,Charleville,Flat Stage,Rudi Altig,FRG,1966
1176,2,1966-06-22,198.0,Charleville,Tournai,Flat Stage,Guido Reybrouck,BEL,1966
1177,3a,1966-06-23,21.0,Tournai,Tournai,Team Time Trial,Televizier–Batavus,,1966
1178,3b,1966-06-23,131.0,Tournai,Dunkirk,Flat Stage,Gerben Karstens,NED,1966
1179,4,1966-06-24,205.0,Dunkirk,Dieppe,Flat Stage,Willy Planckaert,BEL,1966
1180,5,1966-06-25,178.0,Dieppe,Caen,Flat Stage,Franco Bitossi,ITA,1966
1181,6,1966-06-26,217.0,Caen,Angers,Flat Stage,Edward Sels,BEL,1966
1182,7,1966-06-27,252.0,Angers,Royan,Flat Stage,Albert Van Vlierberghe,BEL,1966
1183,8,1966-06-28,138.0,Royan,Bordeaux,Flat Stage,Willy Planckaert,BEL,1966
1184,9,1966-06-29,201.0,Bordeaux,Bayonne,Flat Stage,Gerben Karstens,NED,1966
1185,10,1966-06-30,234.0,Bayonne,Pau,Mountain Stage,Tommaso de Pra,ITA,1966
1186,11,1966-07-01,188.0,Pau,Luchon,Mountain Stage,Guido Marcello Mugnaini,ITA,1966
1187,12,1966-07-03,219.0,Luchon,Revel,Mountain Stage,Rudi Altig,FRG,1966
1188,13,1966-07-04,191.0,Revel,Sète,Flat Stage,Georges Vandenberghe,BEL,1966
1189,14a,1966-07-05,144.0,Montpellier,Vals-les-Bains,Flat Stage,Jo de Roo,NED,1966
1190,14b,1966-07-05,20.0,Vals-les-Bains,Vals-les-Bains,Individual Time Trial,Raymond Poulidor,FRA,1966
1191,15,1966-07-06,203.0,Privas,Le Bourg-d'Oisans,Mountain Stage,Luís Otano,ESP,1966
1192,16,1966-07-07,148.0,Le Bourg-d'Oisans,Briançon,Mountain Stage,Julio Jiménez,ESP,1966
1193,17,1966-07-08,160.0,Briançon,Turin,Mountain Stage,Franco Bitossi,ITA,1966
1194,18,1966-07-10,188.0,Ivrea,Chamonix,Mountain Stage,Edy Schutz,LUX,1966
1195,19,1966-07-11,265.0,Chamonix,Saint-Étienne,Mountain Stage,Ferdinand Bracke,BEL,1966
1196,20,1966-07-12,223.0,Saint-Étienne,Montluçon,Flat Stage,Henk Nijdam,NED,1966
1197,21,1966-07-13,232.0,Montluçon,Orléans,Flat Stage,Pierre Beuffeuil,FRA,1966
1198,22a,1966-07-14,111.0,Orléans,Rambouillet,Flat Stage,Edward Sels,BEL,1966
1199,22b,1966-07-14,51.0,Rambouillet,Paris,Individual Time Trial,Rudi Altig,FRG,1966
1200,1a,1965-06-22,149.0,Cologne,Liège,Flat Stage,Rik Van Looy,BEL,1965
1201,1b,1965-06-22,22.5,Liège,Liège,Team Time Trial,Ford France–Gitane,,1965
1202,2,1965-06-23,200.5,Liège,Roubaix,Flat Stage,Bernard Van De Kerkhove,BEL,1965
1203,3,1965-06-24,240.0,Roubaix,Rouen,Flat Stage,Felice Gimondi,ITA,1965
1204,4,1965-06-25,227.0,Caen,Saint-Brieuc,Flat Stage,Edgard Sorgeloos,BEL,1965
1205,5a,1965-06-26,147.0,Saint-Brieuc,Châteaulin,Flat Stage,Cees van Espen,NED,1965
1206,5b,1965-06-26,26.7,Châteaulin,Châteaulin,Individual Time Trial,Raymond Poulidor,FRA,1965
1207,6,1965-06-27,210.5,Quimper,La Baule,Flat Stage,Guido Reybroeck,BEL,1965
1208,7,1965-06-28,219.0,La Baule,La Rochelle,Flat Stage,Edward Sels,BEL,1965
1209,8,1965-06-29,197.5,La Rochelle,Bordeaux,Flat Stage,Johan de Roo,NED,1965
1210,9,1965-06-30,226.5,Dax,Bagnères-de-Bigorre,Mountain Stage,Julio Jiménez,ESP,1965
1211,10,1965-07-01,222.5,Bagnères-de-Bigorre,Ax-les-Thermes,Mountain Stage,Guido Reybroeck,BEL,1965
1212,11,1965-07-02,240.5,Ax-les-Thermes,Barcelona,Mountain Stage,José Perez-Frances,ESP,1965
1213,12,1965-07-04,219.0,Barcelona,Perpignan,Flat Stage,Jan Janssen,NED,1965
1214,13,1965-07-05,164.0,Perpignan,Montpellier,Flat Stage,Adriano Durante,ITA,1965
1215,14,1965-07-06,173.0,Montpellier,Mont Ventoux,Mountain Stage,Raymond Poulidor,FRA,1965
1216,15,1965-07-07,167.5,Carpentras,Gap,Mountain Stage,Giuseppe Fezzardi,ITA,1965
1217,16,1965-07-08,177.0,Gap,Briançon,Mountain Stage,Joaquim Galera,ESP,1965
1218,17,1965-07-09,193.5,Briançon,Aix-les-Bains,Mountain Stage,Julio Jiménez,ESP,1965
1219,18,1965-07-10,26.9,Aix-les-Bains,Le Revard,Individual Time Trial,Felice Gimondi,ITA,1965
1220,19,1965-07-11,165.0,Aix-les-Bains,Lyon,Mountain Stage,Rik Van Looy,BEL,1965
1221,20,1965-07-12,198.5,Lyon,Auxerre,Flat Stage,Michael Wright,GBR,1965
1222,21,1965-07-13,225.5,Auxerre,Versailles,Flat Stage,Gerben Karstens,NED,1965
1223,22,1965-07-14,37.8,Versailles,Paris,Individual Time Trial,Felice Gimondi,ITA,1965
1224,1,1964-06-22,215.0,Rennes,Lisieux,Flat Stage,Edward Sels,BEL,1964
1225,2,1964-06-23,208.0,Lisieux,Amiens,Flat Stage,André Darrigade,FRA,1964
1226,3a,1964-06-24,197.0,Amiens,Forest,Flat Stage,Bernard Vandekerkhove,BEL,1964
1227,3b,1964-06-24,21.0,Forest,Forest,Team Time Trial,Kas–Kaskol,,1964
1228,4,1964-06-25,292.0,Forest,Metz,Flat Stage,Rudi Altig,GER,1964
1229,5,1964-06-26,161.0,Lunéville,Freiburg,Flat Stage,Willy Derboven,BEL,1964
1230,6,1964-06-27,200.0,Freiburg,Besançon,Flat Stage,Henk Nijdam,NED,1964
1231,7,1964-06-28,195.0,Besançon,Thonon-les-Bains,Flat Stage,Jan Janssen,NED,1964
1232,8,1964-06-29,249.0,Thonon-les-Bains,Briançon,Mountain Stage,Federico Bahamontes,ESP,1964
1233,9,1964-06-30,239.0,Briançon,Monaco,Mountain Stage,Jacques Anquetil,FRA,1964
1234,10a,1964-07-01,187.0,Monaco,Hyères,Flat Stage,Jan Janssen,NED,1964
1235,10b,1964-07-01,21.0,Hyères,Toulon,Individual Time Trial,Jacques Anquetil,FRA,1964
1236,11,1964-07-02,250.0,Toulon,Montpellier,Flat Stage,Edward Sels,BEL,1964
1237,12,1964-07-03,174.0,Montpellier,Perpignan,Flat Stage,Jo de Roo,NED,1964
1238,13,1964-07-04,170.0,Perpignan,Andorra,Mountain Stage,Julio Jiménez,ESP,1964
1239,14,1964-07-06,186.0,Andorra,Toulouse,Mountain Stage,Edward Sels,BEL,1964
1240,15,1964-07-07,203.0,Toulouse,Luchon,Mountain Stage,Raymond Poulidor,FRA,1964
1241,16,1964-07-08,197.0,Luchon,Pau,Mountain Stage,Federico Bahamontes,ESP,1964
1242,17,1964-07-09,43.0,Peyrehorade,Bayonne,Individual Time Trial,Jacques Anquetil,FRA,1964
1243,18,1964-07-10,187.0,Bayonne,Bordeaux,Flat Stage,André Darrigade,FRA,1964
1244,19,1964-07-11,215.0,Bordeaux,Brive,Flat Stage,Edward Sels,BEL,1964
1245,20,1964-07-12,217.0,Brive,Puy de Dôme,Mountain Stage,Julio Jiménez,ESP,1964
1246,21,1964-07-13,311.0,Clermont-Ferrand,Orléans,Flat Stage,Jean Stablinski,FRA,1964
1247,22a,1964-07-14,119.0,Orléans,Versailles,Flat Stage,Benoni Beheyt,BEL,1964
1248,22b,1964-07-14,27.0,Versailles,Paris,Individual Time Trial,Jacques Anquetil,FRA,1964
1249,1,1963-06-23,152.0,Paris,Épernay,Flat Stage,Eddy Pauwels,BEL,1963
1250,2a,1963-06-24,186.0,Reims,Jambes,Flat Stage,Rik Van Looy,BEL,1963
1251,2b,1963-06-24,22.0,Jambes,Jambes,Team Time Trial,Pelforth–Sauvage–Lejeune,,1963
1252,3,1963-06-25,223.0,Jambes,Roubaix,Flat Stage,Seamus Elliott,IRL,1963
1253,4,1963-06-26,236.0,Roubaix,Rouen,Flat Stage,Frans Melckenbeeck,BEL,1963
1254,5,1963-06-27,285.0,Rouen,Rennes,Flat Stage,Antonio Bailetti,ITA,1963
1255,6a,1963-06-28,118.0,Rennes,Angers,Flat Stage,Roger de Breuker,BEL,1963
1256,6b,1963-06-28,25.0,Angers,Angers,Individual Time Trial,Jacques Anquetil,FRA,1963
1257,7,1963-06-29,236.0,Angers,Limoges,Flat Stage,Jan Janssen,NED,1963
1258,8,1963-06-30,232.0,Limoges,Bordeaux,Flat Stage,Rik Van Looy,BEL,1963
1259,9,1963-07-01,202.0,Bordeaux,Pau,Flat Stage,Pino Cerami,BEL,1963
1260,10,1963-07-02,148.0,Pau,Bagnères-de-Bigorre,Mountain Stage,Jacques Anquetil,FRA,1963
1261,11,1963-07-03,131.0,Bagnères-de-Bigorre,Luchon,Mountain Stage,Guy Ignolin,FRA,1963
1262,12,1963-07-04,173.0,Luchon,Toulouse,Mountain Stage,André Darrigade,FRA,1963
1263,13,1963-07-05,234.0,Toulouse,Aurillac,Flat Stage,Rik Van Looy,BEL,1963
1264,14,1963-07-07,237.0,Aurillac,Saint-Étienne,Flat Stage,Guy Ignolin,FRA,1963
1265,15,1963-07-08,174.0,Saint-Étienne,Grenoble,Mountain Stage,Federico Bahamontes,ESP,1963
1266,16,1963-07-09,202.0,Grenoble,Val d'Isère,Mountain Stage,Fernando Manzaneque,ESP,1963
1267,17,1963-07-10,228.0,Val d'Isère,Chamonix,Mountain Stage,Jacques Anquetil,FRA,1963
1268,18,1963-07-11,225.0,Chamonix,Lons-le-Saunier,Mountain Stage,Frans Brands,BEL,1963
1269,19,1963-07-12,54.0,Arbois,Besançon,Individual Time Trial,Jacques Anquetil,FRA,1963
1270,20,1963-07-13,234.0,Besançon,Troyes,Flat Stage,Roger de Breuker,BEL,1963
1271,21,1963-07-14,185.0,Troyes,Paris,Flat Stage,Rik Van Looy,BEL,1963
1272,1,1962-06-24,253.0,Nancy,Spa,Flat Stage,Rudi Altig,FRG,1962
1273,2a,1962-06-25,147.0,Spa,Herentals,Flat Stage,André Darrigade,FRA,1962
1274,2b,1962-06-25,23.0,Herentals,Herentals,Team Time Trial,Faema–Flandria–Clement,,1962
1275,3,1962-06-26,210.0,Brussels,Amiens,Flat Stage,Rudi Altig,FRG,1962
1276,4,1962-06-27,196.5,Amiens,Le Havre,Flat Stage,Willy Vanden Berghen,BEL,1962
1277,5,1962-06-28,215.0,Pont l'Evêque,Saint-Malo,Flat Stage,Emile Daems,BEL,1962
1278,6,1962-06-29,235.5,Dinard,Brest,Flat Stage,Robert Cazala,FRA,1962
1279,7,1962-06-30,201.0,Quimper,Saint-Nazaire,Flat Stage,Huub Zilverberg,NED,1962
1280,8a,1962-07-01,155.0,Saint-Nazaire,Luçon,Flat Stage,Mario Minieri,ITA,1962
1281,8b,1962-07-01,43.0,Luçon,La Rochelle,Individual Time Trial,Jacques Anquetil,FRA,1962
1282,9,1962-07-02,214.0,La Rochelle,Bordeaux,Flat Stage,Antonio Bailetti,ITA,1962
1283,10,1962-07-03,184.5,Bordeaux,Bayonne,Flat Stage,Willy Vannitsen,BEL,1962
1284,11,1962-07-04,155.5,Bayonne,Pau,Flat Stage,Eddy Pauwels,BEL,1962
1285,12,1962-07-05,207.5,Pau,Saint-Gaudens,Mountain Stage,Robert Cazala,FRA,1962
1286,13,1962-07-06,18.5,Luchon,Superbagnères,Individual Time Trial,Federico Bahamontes,ESP,1962
1287,14,1962-07-07,215.0,Luchon,Carcassonne,Mountain Stage,Jean Stablinski,FRA,1962
1288,15,1962-07-08,196.5,Carcassonne,Montpellier,Flat Stage,Willy Vannitsen,BEL,1962
1289,16,1962-07-09,185.0,Montpellier,Aix-en-Provence,Flat Stage,Emile Daems,BEL,1962
1290,17,1962-07-10,201.0,Aix-en-Provence,Antibes,Flat Stage,Rudi Altig,FRG,1962
1291,18,1962-07-11,241.5,Antibes,Briançon,Mountain Stage,Emile Daems,BEL,1962
1292,19,1962-07-12,204.5,Briançon,Aix-les-Bains,Mountain Stage,Raymond Poulidor,FRA,1962
1293,20,1962-07-13,68.0,Bourgoin,Lyon,Individual Time Trial,Jacques Anquetil,FRA,1962
1294,21,1962-07-14,232.0,Lyon,Nevers,Flat Stage,Dino Bruni,ITA,1962
1295,22,1962-07-15,271.0,Nevers,Paris,Flat Stage,Rino Benedetti,ITA,1962
1296,1a,1961-06-25,136.5,Rouen,Versailles,Flat Stage,André Darrigade,FRA,1961
1297,1b,1961-06-25,28.5,Versailles,Versailles,Individual Time Trial,Jacques Anquetil,FRA,1961
1298,2,1961-06-26,230.5,Pontoise,Roubaix,Flat Stage,André Darrigade,FRA,1961
1299,3,1961-06-27,197.5,Roubaix,Charleroi,Flat Stage,Emile Daems,BEL,1961
1300,4,1961-06-28,237.5,Charleroi,Metz,Flat Stage,Anatole Novak,FRA,1961
1301,5,1961-06-29,221.0,Metz,Strasbourg,Mountain Stage,Louis Bergaud,FRA,1961
1302,6,1961-06-30,180.5,Strasbourg,Belfort,Mountain Stage,Jozef Planckaert,BEL,1961
1303,7,1961-07-01,214.5,Belfort,Chalon-sur-Saône,Flat Stage,Jean Stablinski,FRA,1961
1304,8,1961-07-02,240.5,Chalon-sur-Saône,Saint-Étienne,Mountain Stage,Jean Forestier,FRA,1961
1305,9,1961-07-03,230.0,Saint-Étienne,Grenoble,Mountain Stage,Charly Gaul,LUX,1961
1306,10,1961-07-04,250.5,Grenoble,Turin,Mountain Stage,Guy Ignolin,FRA,1961
1307,11,1961-07-05,225.0,Turin,Antibes,Mountain Stage,Guido Carlesi,ITA,1961
1308,12,1961-07-06,199.0,Antibes,Aix-en-Provence,Mountain Stage,Michel Van Aerde,BEL,1961
1309,13,1961-07-07,177.5,Aix-en-Provence,Montpellier,Flat Stage,André Darrigade,FRA,1961
1310,14,1961-07-09,174.0,Montpellier,Perpignan,Flat Stage,Eddy Pauwels,BEL,1961
1311,15,1961-07-10,206.0,Perpignan,Toulouse,Flat Stage,Guido Carlesi,ITA,1961
1312,16,1961-07-11,208.0,Toulouse,Superbagnères,Mountain Stage,Imerio Massignan,ITA,1961
1313,17,1961-07-12,197.0,Luchon,Pau,Mountain Stage,Eddy Pauwels,BEL,1961
1314,18,1961-07-13,207.0,Pau,Bordeaux,Flat Stage,Martin Van Geneugden,BEL,1961
1315,19,1961-07-14,74.5,Bergerac,Périgueux,Individual Time Trial,Jacques Anquetil,FRA,1961
1316,20,1961-07-15,309.5,Périgueux,Tours,Flat Stage,André Darrigade,FRA,1961
1317,21,1961-07-16,252.5,Tours,Paris,Flat Stage,Robert Cazala,FRA,1961
1318,1a,1960-06-26,108.0,Lille,Brussels,Flat Stage,Julien Schepens,BEL,1960
1319,1b,1960-06-26,27.8,Brussels,Brussels,Individual Time Trial,Roger Rivière,FRA,1960
1320,2,1960-06-27,206.0,Brussels,Dunkirk,Flat Stage,René Privat,FRA,1960
1321,3,1960-06-28,209.0,Dunkirk,Dieppe,Flat Stage,Nino Defilippis,ITA,1960
1322,4,1960-06-29,211.0,Dieppe,Caen,Flat Stage,Jean Graczyk,FRA,1960
1323,5,1960-06-30,189.0,Caen,Saint-Malo,Flat Stage,André Darrigade,FRA,1960
1324,6,1960-07-01,191.0,Saint-Malo,Lorient,Flat Stage,Roger Rivière,FRA,1960
1325,7,1960-07-02,244.0,Lorient,Angers,Flat Stage,Graziano Battistini,ITA,1960
1326,8,1960-07-03,240.0,Angers,Limoges,Flat Stage,Nino Defilippis,ITA,1960
1327,9,1960-07-04,225.0,Limoges,Bordeaux,Flat Stage,Martin van Geneugden,BEL,1960
1328,10,1960-07-05,228.0,Mont-de-Marsan,Pau,Mountain Stage,Roger Rivière,FRA,1960
1329,11,1960-07-06,161.0,Pau,Luchon,Mountain Stage,Kurt Gimmi,SUI,1960
1330,12,1960-07-07,176.0,Luchon,Toulouse,Mountain Stage,Jean Graczyk,FRA,1960
1331,13,1960-07-08,224.0,Toulouse,Millau,Flat Stage,Louis Proost,FRA,1960
1332,14,1960-07-10,217.0,Millau,Avignon,Mountain Stage,Martin van Geneugden,BEL,1960
1333,15,1960-07-11,187.0,Avignon,Gap,Mountain Stage,Michel Van Aerde,BEL,1960
1334,16,1960-07-12,172.0,Gap,Briançon,Mountain Stage,Graziano Battistini,ITA,1960
1335,17,1960-07-13,229.0,Briançon,Aix-les-Bains,Mountain Stage,Jean Graczyk,FRA,1960
1336,18,1960-07-14,215.0,Aix-les-Bains,Thonon-les-Bains,Mountain Stage,Fernando Manzaneque,ESP,1960
1337,19,1960-07-15,83.0,Pontarlier,Besançon,Individual Time Trial,Rolf Graf,SUI,1960
1338,20,1960-07-16,229.0,Besançon,Troyes,Flat Stage,Pierre Beuffeuil,FRA,1960
1339,21,1960-07-17,200.0,Troyes,Paris,Flat Stage,Jean Graczyk,FRA,1960
1340,1,1959-06-25,238.0,Mulhouse,Metz,Flat Stage,André Darrigade,FRA,1959
1341,2,1959-06-26,234.0,Metz,Namur,Flat Stage,Vito Favero,ITA,1959
1342,3,1959-06-27,217.0,Namur,Roubaix,Flat Stage,Robert Cazala,FRA,1959
1343,4,1959-06-28,230.0,Roubaix,Rouen,Flat Stage,Dino Bruni,ITA,1959
1344,5,1959-06-29,286.0,Rouen,Rennes,Flat Stage,Jean Graczyk,FRA,1959
1345,6,1959-06-30,45.0,Blain,Nantes,Individual Time Trial,Roger Rivière,FRA,1959
1346,7,1959-07-01,190.0,Nantes,La Rochelle,Flat Stage,Roger Hassenforder,FRA,1959
1347,8,1959-07-02,201.0,La Rochelle,Bordeaux,Flat Stage,Michel Dejouhannet,FRA,1959
1348,9,1959-07-03,207.0,Bordeaux,Bayonne,Flat Stage,Marcel Queheille,FRA,1959
1349,10,1959-07-05,235.0,Bayonne,Bagnères-de-Bigorre,Mountain Stage,Marcel Janssens,BEL,1959
1350,11,1959-07-06,119.0,Bagnères-de-Bigorre,Saint-Gaudens,Mountain Stage,André Darrigade,FRA,1959
1351,12,1959-07-07,184.0,Saint-Gaudens,Albi,Flat Stage,Rolf Graf,SUI,1959
1352,13,1959-07-08,219.0,Albi,Aurillac,Mountain Stage,Henry Anglade,FRA,1959
1353,14,1959-07-09,231.0,Aurillac,Clermont-Ferrand,Mountain Stage,André Le Dissez,FRA,1959
1354,15,1959-07-10,12.0,Puy de Dôme,Puy de Dôme,Individual Time Trial,Federico Bahamontes,ESP,1959
1355,16,1959-07-11,210.0,Clermont-Ferrand,Saint-Étienne,Flat Stage,Dino Bruni,ITA,1959
1356,17,1959-07-13,197.0,Saint-Étienne,Grenoble,Mountain Stage,Charly Gaul,LUX,1959
1357,18,1959-07-14,243.0,Grenoble,Saint-Vincent,Mountain Stage,Ercole Baldini,ITA,1959
1358,19,1959-07-15,251.0,Saint-Vincent,Annecy,Mountain Stage,Rolf Graf,SUI,1959
1359,20,1959-07-16,202.0,Annecy,Chalon-sur-Saône,Flat Stage,Brian Robinson,GBR,1959
1360,21,1959-07-17,69.0,Seurre,Dijon,Individual Time Trial,Roger Rivière,FRA,1959
